 will to register next: {'params': {'mgs': 4.952821331661115, 'mrc': 0.047813646415785616, 'pd': 0.9054792922267041, 'pr': 0.22019537409232015}, 'target': 27.272727272727273}.
 will to register next: {'params': {'mgs': 54.945661749436255, 'mrc': 0.048657940582456566, 'pd': 0.9925144783825948, 'pr': 0.2618975943052943}, 'target': 25.454545454545453}.
 will to register next: {'params': {'mgs': 55.42497906858898, 'mrc': 0.025357546265224552, 'pd': 0.9484112286928026, 'pr': 0.07533054333144056}, 'target': 25.454545454545453}.
 will to register next: {'params': {'mgs': 21.644554160106352, 'mrc': 0.09015512174286851, 'pd': 0.976116386370918, 'pr': 0.2108013731078877}, 'target': 34.54545454545455}.
 will to register next: {'params': {'mgs': 64.3860796462311, 'mrc': 0.04400986424533376, 'pd': 0.9404788353677629, 'pr': 0.14373017796976817}, 'target': 36.36363636363637}.
 will to register next: {'params': {'mgs': 3.6776941491868254, 'mrc': 0.04065562088252964, 'pd': 0.9366521311859928, 'pr': 0.09050320055733234}, 'target': 12.727272727272727}.
 will to register next: {'params': {'mgs': 30.89171210791454, 'mrc': 0.08794043330394674, 'pd': 0.9840669145964265, 'pr': 0.10908700479879309}, 'target': 32.72727272727273}.
 will to register next: {'params': {'mgs': 40.74046422271867, 'mrc': 0.08066027030894458, 'pd': 0.9581736291467265, 'pr': 0.09067762810010759}, 'target': 32.72727272727273}.
 will to register next: {'params': {'mgs': 26.261838631708343, 'mrc': 0.09397125533610329, 'pd': 0.9060772543223016, 'pr': 0.213474092822111}, 'target': 18.181818181818183}.
 will to register next: {'params': {'mgs': 70.76740710944149, 'mrc': 0.044327509061722364, 'pd': 0.9990445248754096, 'pr': 0.20944499929314492}, 'target': 36.36363636363637}.
 will to register next: {'params': {'mgs': 30.746601849972937, 'mrc': 0.08078130419999924, 'pd': 0.9854546522172437, 'pr': 0.19358063541260728}, 'target': 30.90909090909091}.
 will to register next: {'params': {'mgs': 3.539400440288531, 'mrc': 0.06630422227242821, 'pd': 1.0, 'pr': 0.20803324268572213}, 'target': 30.90909090909091}.
