 will to register next: {'params': {'mgs': 6.174326744258218, 'mrc': 0.09608228771972581, 'pd': 0.9603919954808828, 'pr': 0.10759081784139683}, 'target': 0.0}.
 will to register next: {'params': {'mgs': 74.11341185122791, 'mrc': 0.13874396917956905, 'pd': 0.9583340801331626, 'pr': 0.18344943262694974}, 'target': 10}.
 will to register next: {'params': {'mgs': 38.47698201395154, 'mrc': 0.11614971685758563, 'pd': 0.781964815327059, 'pr': 0.2151205709961631}, 'target': 10}.
 will to register next: {'params': {'mgs': 73.05898847617924, 'mrc': 0.06775747871884122, 'pd': 0.7632581740271915, 'pr': 0.2917480372923486}, 'target': 7.2727272727272725}.
 will to register next: {'params': {'mgs': 35.200545468838946, 'mrc': 0.0726438636811577, 'pd': 0.6870778665217915, 'pr': 0.10209245671800375}, 'target': 10}.
 will to register next: {'params': {'mgs': 42.723092374097064, 'mrc': 0.07845328702906976, 'pd': 0.9542536210085779, 'pr': 0.2037045119196264}, 'target': 10.909090909090908}.
 will to register next: {'params': {'mgs': 33.31431650366931, 'mrc': 0.18251367200648905, 'pd': 0.5829207203015134, 'pr': 0.24704554050858452}, 'target': 10}.
 will to register next: {'params': {'mgs': 9.130365514163872, 'mrc': 0.0537766869839474, 'pd': 0.6652016597604977, 'pr': 0.165004754454262}, 'target': 3.6363636363636362}.
 will to register next: {'params': {'mgs': 79.40797694306515, 'mrc': 0.00954468751999702, 'pd': 0.6654880540097267, 'pr': 0.27463154628801967}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 36.78421152696401, 'mrc': 0.16526413913959093, 'pd': 0.5830929251931907, 'pr': 0.2583935867060884}, 'target': 7.2727272727272725}.
 will to register next: {'params': {'mgs': 62.68199192879655, 'mrc': 0.15659888614978412, 'pd': 0.5891636644773606, 'pr': 0.19690989641126844}, 'target': 10.909090909090908}.
 will to register next: {'params': {'mgs': 72.69678967180991, 'mrc': 0.13138234281723854, 'pd': 0.9444627122279123, 'pr': 0.17140641883117563}, 'target': 12.727272727272727}.
 will to register next: {'params': {'mgs': 72.46995656239159, 'mrc': 0.061658645809378125, 'pd': 0.7981121806450652, 'pr': 0.13987707995301651}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 76.68931922098646, 'mrc': 0.2, 'pd': 1.0, 'pr': 0.05}, 'target': 18.181818181818183}.
 will to register next: {'params': {'mgs': 77.09547905253149, 'mrc': 0.2, 'pd': 1.0, 'pr': 0.05}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 77.22860694512038, 'mrc': 0.2, 'pd': 1.0, 'pr': 0.05}, 'target': 10.909090909090908}.
 will to register next: {'params': {'mgs': 78.05909786545074, 'mrc': 0.1562840248081136, 'pd': 0.9857294215064759, 'pr': 0.05450088243538952}, 'target': 10.909090909090908}.
 will to register next: {'params': {'mgs': 78.48014140731198, 'mrc': 0.2, 'pd': 1.0, 'pr': 0.05}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 47.63262703877979, 'mrc': 0.2, 'pd': 0.5, 'pr': 0.05}, 'target': 7.2727272727272725}.
 will to register next: {'params': {'mgs': 76.5756870971578, 'mrc': 0.2, 'pd': 1.0, 'pr': 0.05}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 59.58311033359664, 'mrc': 0.11218353040451406, 'pd': 0.9256336653364423, 'pr': 0.10918340194890867}, 'target': 14.545454545454545}.
 will to register next: {'params': {'mgs': 64.71278905356888, 'mrc': 0.0002686379257512028, 'pd': 0.7348034849408516, 'pr': 0.21778071638847507}, 'target': 14.545454545454545}.
 will to register next: {'params': {'mgs': 72.62643642812147, 'mrc': 0.2, 'pd': 1.0, 'pr': 0.2919188819428792}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 30.616062992368942, 'mrc': 0.13137231421015813, 'pd': 0.9151513940899705, 'pr': 0.2928677957105452}, 'target': 14.545454545454545}.
 will to register next: {'params': {'mgs': 76.69651800835082, 'mrc': 0.19338097931595666, 'pd': 0.9642430535517551, 'pr': 0.08657138786684158}, 'target': 12.727272727272727}.
 will to register next: {'params': {'mgs': 31.18622905112172, 'mrc': 0.12862450838224293, 'pd': 0.6373387034665223, 'pr': 0.23094690055020156}, 'target': 1.8181818181818181}.
 will to register next: {'params': {'mgs': 66.37699188718516, 'mrc': 0.03134487823458507, 'pd': 0.9608163808345518, 'pr': 0.21248883923231127}, 'target': 12.727272727272727}.
 will to register next: {'params': {'mgs': 11.294263339827744, 'mrc': 0.10479289591540863, 'pd': 0.6608351157774918, 'pr': 0.16737435279040414}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 25.32754722862297, 'mrc': 0.12252989149291549, 'pd': 0.8986369997616639, 'pr': 0.12630820277919735}, 'target': 3.6363636363636362}.
 will to register next: {'params': {'mgs': 23.516872297666556, 'mrc': 0.04589462170875214, 'pd': 0.9459466241342418, 'pr': 0.16796837054272912}, 'target': 10.909090909090908}.
